area,sub_area,UNHCR_outcome_area,date_collection,indicator,value,population_group,location,comment,source,publication,data_source,tags,publicly_available_microdata,publicly_available_methodology,publicly_available_questionnaire,methodology_overview,limitations
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2122,"% of respondents who indicated ""go back to cultural environment"" as one of the main reason to return to Ukraine.",79,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2123,"% of respondents who indicated ""go back to cultural environment"" as one of the main reason to return to Ukraine.",42,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2124,"% of respondents who indicated ""go back to cultural environment"" as one of the main reason to return to Ukraine.",70,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2125,"% of respondents who indicated ""go back to cultural environment"" as one of the main reason to return to Ukraine.",87,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2126,"% of respondents who indicated ""go back to cultural environment"" as one of the main reason to return to Ukraine.",62,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2127,"% of respondents who indicated ""reunite with family"" as one of the main reason to return to Ukraine.",46,refugee,Regional,Indicator based on multiple responses question.,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; reunite family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2128,"% of respondents who indicated ""reunite with family"" as one of the main reason to return to Ukraine.",38,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; reunite family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2129,"% of respondents who indicated ""reunite with family"" as one of the main reason to return to Ukraine.",50,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; reunite family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2130,"% of respondents who indicated ""reunite with family"" as one of the main reason to return to Ukraine.",56,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; reunite family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2131,"% of respondents who indicated ""reunite with family"" as one of the main reason to return to Ukraine.",28,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; reunite family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2132,"% of respondents who indicated ""reunite with family"" as one of the main reason to return to Ukraine.",25,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; reunite family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2133,"% of respondents who indicated ""reunite with family"" as one of the main reason to return to Ukraine.",50,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; reunite family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2134,"% of respondents who indicated ""improved security situation"" as one of the main reason to return to Ukraine.",15,refugee,Regional,Indicator based on multiple responses question.,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; security,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2135,"% of respondents who indicated ""take care of property"" as one of the main reason to return to Ukraine.",17,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; property; house; home,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2136,"% of respondents who indicated ""because my family has decided to return"" as one of the main reason to return to Ukraine.",17,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; reunite family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2137,"% of respondents who indicated ""improved security situation"" as one of the main reason to return to Ukraine.",29,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; security,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2138,"% of respondents who indicated ""take care of property"" as one of the main reason to return to Ukraine.",6,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; property; house; home,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2139,"% of respondents who indicated ""improved security situation"" as one of the main reason to return to Ukraine.",4,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; security,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2140,"% of respondents who indicated ""take care of property"" as one of the main reason to return to Ukraine.",25,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; property; house; home,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2141,"% of respondents who indicated ""take care of property"" as one of the main reason to return to Ukraine.",13,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; property; house; home,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2142,"% of respondents who indicated ""improved security situation"" as one of the main reason to return to Ukraine.",3,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; security,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2143,"% of respondents who indicated ""take care of property"" as one of the main reason to return to Ukraine.",27,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; reason to return; property; house; home,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2144,% of respondents who are planning to return to Ukraine with all household members,82,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; family; household,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2145,% of respondents who are planning to return to Ukraine with all household members,75,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; family; household,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2146,% of respondents who are planning to return to Ukraine with all household members,71,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; family; household,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2147,% of respondents who are planning to return to Ukraine with all household members,90,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; family; household,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2148,% of respondents who are planning to return to Ukraine with all household members,91,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; family; household,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2149,% of respondents who are planning to return to Ukraine with all household members,90,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; family; household,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2150,% of respondents who are planning to return to Ukraine with all household members,77,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; family; household,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2151,% of responents who temporarily visited Ukraine once since the war started,19,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2152,% of responents who temporarily visited Ukraine once since the war started,26,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2153,% of responents who temporarily visited Ukraine once since the war started,19,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2154,% of responents who temporarily visited Ukraine once since the war started,19,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2155,% of responents who temporarily visited Ukraine once since the war started,18,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2156,% of responents who temporarily visited Ukraine once since the war started,24,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2157,% of responents who temporarily visited Ukraine once since the war started,23,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2158,% of responents who temporarily visited Ukraine more than once since the war started,9,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2159,% of responents who temporarily visited Ukraine more than once since the war started,9,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2160,% of responents who temporarily visited Ukraine more than once since the war started,3,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2161,% of responents who temporarily visited Ukraine more than once since the war started,12,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2162,% of responents who temporarily visited Ukraine more than once since the war started,43,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2163,% of responents who temporarily visited Ukraine more than once since the war started,32,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2164,% of responents who temporarily visited Ukraine more than once since the war started,17,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2165,"% of respondents who indicated ""visiting relatives/friends"" as the main reason for visiting Ukraine",38,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2166,"% of respondents who indicated ""visiting relatives/friends"" as the main reason for visiting Ukraine",40,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2167,"% of respondents who indicated ""visiting relatives/friends"" as the main reason for visiting Ukraine",44,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2168,"% of respondents who indicated ""visiting relatives/friends"" as the main reason for visiting Ukraine",37,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2169,"% of respondents who indicated ""visiting relatives/friends"" as the main reason for visiting Ukraine",25,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2170,"% of respondents who indicated ""visiting relatives/friends"" as the main reason for visiting Ukraine",26,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2171,"% of respondents who indicated ""visiting relatives/friends"" as the main reason for visiting Ukraine",27,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2172,"% of respondents who indicated ""access to healthcare"" as the main reason for visiting Ukraine",12,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; healthcare,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2173,"% of respondents who indicated ""access to healthcare"" as the main reason for visiting Ukraine",21,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; healthcare,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2174,"% of respondents who indicated ""other family matters"" as the main reason for visiting Ukraine",18,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2175,"% of respondents who indicated ""access to healthcare"" as the main reason for visiting Ukraine",14,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; healthcare,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2176,"% of respondents who indicated ""to get personal supplies"" as the main reason for visiting Ukraine",23,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; supplies,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2177,"% of respondents who indicated ""access to healthcare"" as the main reason for visiting Ukraine",15,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; healthcare,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2178,"% of respondents who indicated ""access to healthcare"" as the main reason for visiting Ukraine",19,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; healthcare,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2179,"% of respondents who indicated ""access to documentation"" as the main reason for visiting Ukraine",18,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; documentation,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2180,"% of respondents who indicated ""access to documentation"" as the main reason for visiting Ukraine",14,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; documentation,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2181,"% of respondents who indicated ""access to documentation"" as the main reason for visiting Ukraine",13,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; documentation,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2182,"% of respondents who indicated ""access to documentation"" as the main reason for visiting Ukraine",24,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; documentation,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2183,"% of respondents who indicated ""to check on property"" as the main reason for visiting Ukraine",16,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; property; house; home,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2184,"% of respondents who indicated ""access to documentation"" as the main reason for visiting Ukraine",12,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; documentation,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2185,"% of respondents who indicated ""access to documentation"" as the main reason for visiting Ukraine",20,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; documentation,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2186,"% of respondents who indicated ""access to documentation"" as the main reason for visiting Ukraine",38,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,temporary visit; reason; documentation,yes,yes,yes,,
3.4 Securing solutions,Local solutions,voluntary repatriation and sustainable reintegration,December 2022 to May 2187,% of respondents who plan to stay in the current host country for the next 3 months (among those not planing to return to Ukraine within the next 3 months),86,refugee,Regional,The sample size excludes those who plan to return to Ukraine within the next 3 months,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; host country,yes,yes,yes,,
3.4 Securing solutions,Local solutions,voluntary repatriation and sustainable reintegration,December 2022 to May 2188,% of respondents who plan to stay in the current host country for the next 3 months (among those not planing to return to Ukraine within the next 3 months),77,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; host country,yes,yes,yes,,
3.4 Securing solutions,Local solutions,voluntary repatriation and sustainable reintegration,December 2022 to May 2189,% of respondents who plan to stay in the current host country for the next 3 months (among those not planing to return to Ukraine within the next 3 months),86,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; host country,yes,yes,yes,,
3.4 Securing solutions,Local solutions,voluntary repatriation and sustainable reintegration,December 2022 to May 2190,% of respondents who plan to stay in the current host country for the next 3 months (among those not planing to return to Ukraine within the next 3 months),95,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; host country,yes,yes,yes,,
3.4 Securing solutions,Local solutions,voluntary repatriation and sustainable reintegration,December 2022 to May 2191,% of respondents who plan to stay in the current host country for the next 3 months (among those not planing to return to Ukraine within the next 3 months),93,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; host country,yes,yes,yes,,
3.4 Securing solutions,Local solutions,voluntary repatriation and sustainable reintegration,December 2022 to May 2192,% of respondents who plan to stay in the current host country for the next 3 months (among those not planing to return to Ukraine within the next 3 months),94,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; host country,yes,yes,yes,,
3.4 Securing solutions,Local solutions,voluntary repatriation and sustainable reintegration,December 2022 to May 2193,% of respondents who plan to stay in the current host country for the next 3 months (among those not planing to return to Ukraine within the next 3 months),93,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; host country,yes,yes,yes,,
3.4 Securing solutions,Third country solutions: Complementary Pathways,voluntary repatriation and sustainable reintegration,December 2022 to May 2194,% of respondents who plan to move to a third country in the next 3 months (among those not planing to return to Ukraine within the next 3 months),2,refugee,Regional,The sample size excludes those who plan to return to Ukraine within the next 3 months,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; third country; relocation; resettlement,yes,yes,yes,,
3.4 Securing solutions,Third country solutions: Complementary Pathways,voluntary repatriation and sustainable reintegration,December 2022 to May 2195,% of respondents who plan to move to a third country in the next 3 months (among those not planing to return to Ukraine within the next 3 months),3,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; third country; relocation; resettlement,yes,yes,yes,,
3.4 Securing solutions,Third country solutions: Complementary Pathways,voluntary repatriation and sustainable reintegration,December 2022 to May 2196,% of respondents who plan to move to a third country in the next 3 months (among those not planing to return to Ukraine within the next 3 months),1,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; third country; relocation; resettlement,yes,yes,yes,,
3.4 Securing solutions,Third country solutions: Complementary Pathways,voluntary repatriation and sustainable reintegration,December 2022 to May 2197,% of respondents who plan to move to a third country in the next 3 months (among those not planing to return to Ukraine within the next 3 months),1,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; third country; relocation; resettlement,yes,yes,yes,,
3.4 Securing solutions,Third country solutions: Complementary Pathways,voluntary repatriation and sustainable reintegration,December 2022 to May 2198,% of respondents who plan to move to a third country in the next 3 months (among those not planing to return to Ukraine within the next 3 months),1,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; third country; relocation; resettlement,yes,yes,yes,,
3.4 Securing solutions,Third country solutions: Complementary Pathways,voluntary repatriation and sustainable reintegration,December 2022 to May 2199,% of respondents who plan to move to a third country in the next 3 months (among those not planing to return to Ukraine within the next 3 months),1,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; third country; relocation; resettlement,yes,yes,yes,,
3.4 Securing solutions,Third country solutions: Complementary Pathways,voluntary repatriation and sustainable reintegration,December 2022 to May 2200,% of respondents who plan to move to a third country in the next 3 months (among those not planing to return to Ukraine within the next 3 months),1,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; third country; relocation; resettlement,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2201,"% of respondents who indicated ""safety and security concerns"" as one of the main reasons for not hoping to return to Ukraine one day",46,refugee,Regional,Indicator based on multiple responses question.,UNHCR,Regional Intentions Survey 3rd Round,Survey,"intention; security, return",yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2202,"% of respondents who indicated ""safety and security concerns"" as one of the main reasons for not hoping to return to Ukraine one day",71,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,"intention; security, return",yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2203,"% of respondents who indicated ""safety and security concerns"" as one of the main reasons for not hoping to return to Ukraine one day",42,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,"intention; security, return",yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2204,"% of respondents who indicated ""safety and security concerns"" as one of the main reasons for not hoping to return to Ukraine one day",38,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,"intention; security, return",yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2205,"% of respondents who indicated ""safety and security concerns"" as one of the main reasons for not hoping to return to Ukraine one day",40,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,"intention; security, return",yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2206,"% of respondents who indicated ""safety and security concerns"" as one of the main reasons for not hoping to return to Ukraine one day",41,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,"intention; security, return",yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2207,"% of respondents who indicated ""safety and security concerns"" as one of the main reasons for not hoping to return to Ukraine one day",58,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,"intention; security, return",yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2208,"% of respondents who indicated ""lack of jobs in Ukraine"" as one of the main reasons for not hoping to return to Ukraine one day",31,refugee,Regional,Indicator based on multiple responses question.,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; job; employment,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2209,"% of respondents who indicated ""lack of jobs in Ukraine"" as one of the main reasons for not hoping to return to Ukraine one day",43,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; job; employment,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2210,"% of respondents who indicated ""lack of jobs in Ukraine"" as one of the main reasons for not hoping to return to Ukraine one day",53,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; job; employment,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2211,"% of respondents who indicated ""lack of jobs in Ukraine"" as one of the main reasons for not hoping to return to Ukraine one day",18,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; job; employment,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2212,"% of respondents who indicated ""because I no longer have a family in Ukraine"" as one of the main reasons for not hoping to return to Ukraine one day",19,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; family,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2213,"% of respondents who indicated ""lack of jobs in Ukraine"" as one of the main reasons for not hoping to return to Ukraine one day",22,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; job; employment,yes,yes,yes,,
3.4 Securing solutions,Voluntary Repatriation,voluntary repatriation and sustainable reintegration,December 2022 to May 2214,"% of respondents who indicated ""lack of jobs in Ukraine"" as one of the main reasons for not hoping to return to Ukraine one day",36,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,intention; return; job; employment,yes,yes,yes,,
